,InstituteId,Institution, City
80,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
81,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
82,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
83,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
84,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
85,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
86,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
87,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
88,E008,Bangalore Institute of Technology  Bangalore [E008],"Bengaluru"
89,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Bengaluru"
90,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Bengaluru"
91,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Bengaluru"
92,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Bengaluru"
93,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Bengaluru"
94,E009,P E S University (Ring Road Campus)  Bangalore [E009],"Bengaluru"
95,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
96,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
97,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
98,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
99,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
100,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
101,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
102,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
103,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
104,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
105,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
106,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
107,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
108,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
109,E011,M V J College of Engineering  Bangalore [E011],"Bengaluru"
110,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
111,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
112,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
113,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
114,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
115,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
116,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
117,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
118,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
119,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","Bengaluru"
120,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
121,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
122,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
123,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
124,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
125,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
126,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
127,E013,Ghousia Engineering College  Ramanagara [E013],"Vijaya Nagar, Ramanagara"
128,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
129,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
130,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
131,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
132,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
133,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
134,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
135,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
136,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
137,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
138,E014,S J C Institute of Technology  Chickballapur [E014],"BB Rd, Chickaballapur"
139,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar"
140,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar"
141,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar"
142,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar"
143,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar"
144,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar"
145,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"KGF,Kolar"
146,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
147,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
148,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
149,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
150,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
151,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
152,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
153,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
154,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
155,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
156,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
157,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
158,E016,Siddaganga Institute of Technology  Tumkur [E016],"Bangalore - Honnavar Rd,Tumkur"
159,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
160,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
161,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
162,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
163,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
164,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
165,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
166,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
167,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
168,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
169,E017,Sri Siddartha Institute of Technology  Tumkur [E017],"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur"
170,E018,Kalpatharu Institute of Technology  Tiptur [E018],"Vidya Nagar, Tiptur, Tumkur"
171,E018,Kalpatharu Institute of Technology  Tiptur [E018],"Vidya Nagar, Tiptur, Tumkur"
172,E018,Kalpatharu Institute of Technology  Tiptur [E018],"Vidya Nagar, Tiptur, Tumkur"
173,E018,Kalpatharu Institute of Technology  Tiptur [E018],"Vidya Nagar, Tiptur, Tumkur"
