,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,Category-1_min,Category-1_max,Category-2A_min,Category-2A_max,Category-2B_min,Category-2B_max,Category-3A_min,Category-3A_max,Category-3B_min,Category-3B_max,Category-GM_min,Category-GM_max,Category-SC_min,Category-SC_max,Category-ST_min,Category-ST_max
872,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore","Shreedevi Institute of Technology  Kenjar, Mangalore [E146]",Mechanical Engineering,Mechanical Engineering [ME],"Kenjar, Mangalore, Dakshina Kannada",Dakshina Kannada,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,E188,Vijaya Vittala Institute of Technology  Bangalore,Vijaya Vittala Institute of Technology  Bangalore [E188],Civil Engineering,Civil Engineering [CE],"Kothanur, Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,E188,Vijaya Vittala Institute of Technology  Bangalore,Vijaya Vittala Institute of Technology  Bangalore [E188],Mechanical Engineering,Mechanical Engineering [ME],"Kothanur, Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist","Basavakalyana Engineering College  Basavakalyana, Bidar-Dist [E093]",Civil Engineering,Civil Engineering [CE],"Basavakalyana, Bidar",Bidar,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,E093,"Basavakalyana Engineering College  Basavakalyana, Bidar-Dist","Basavakalyana Engineering College  Basavakalyana, Bidar-Dist [E093]",Electronics and Computer Engineering,Electronics and Computer Engineering [ES],"Basavakalyana, Bidar",Bidar,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,E238,Mysuru Royal Institute of Technology  Mandya (D),Mysuru Royal Institute of Technology  Mandya (D) [E238],Mechanical Engineering,Mechanical Engineering [ME],Mandya,Mandya,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,E123,Canara Engineering College Bantwal  DK DIST,Canara Engineering College Bantwal  DK DIST [E123],Mechanical Engineering,Mechanical Engineering [ME],"Bantwal,Dakshina Kannada",Dakshina Kannada,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,E124,"Rajiv Gandhi Institute of Technology  R.T Nagar Post, Bangalore","Rajiv Gandhi Institute of Technology  R.T Nagar Post, Bangalore [E124]",Civil Engineering,Civil Engineering [CE],"R.T Nagar Post, Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,E124,"Rajiv Gandhi Institute of Technology  R.T Nagar Post, Bangalore","Rajiv Gandhi Institute of Technology  R.T Nagar Post, Bangalore [E124]",Mechanical Engineering,Mechanical Engineering [ME],"R.T Nagar Post, Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,E087,Vivekananada Institute of Technology  Bangalore,Vivekananada Institute of Technology  Bangalore [E087],Mechanical Engineering,Mechanical Engineering [ME],"Kumbalagodu, Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
