,InstituteId,Institution,Course
64,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Computers Science And Engineering [CS]
68,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Electrical And Electronics Engineering [EE]
67,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Electronics and Communication Engineering [EC]
69,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Electronics and Instrumentation Engineering [EI]
70,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Electronics and Telecommunication Engineering [ET]
72,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Information Science and Engineering [IE]
74,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Mechanical Engineering [ME]
73,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Medical Electronics [MD]
75,E007,Dayananda Sagar College of Engineering  Bangalore [E007],Robotics and Artificial Intelligence [RI]
76,E008,Bangalore Institute of Technology  Bangalore [E008],Artificial Intelligence and Machine Learning [AI]
85,E008,Bangalore Institute of Technology  Bangalore [E008],"CS-Internet of things,Cyber Security(Block Chain) [IC]"
77,E008,Bangalore Institute of Technology  Bangalore [E008],Civil Engineering [CE]
79,E008,Bangalore Institute of Technology  Bangalore [E008],Computer Science Engineering-Data Sciences [DS]
78,E008,Bangalore Institute of Technology  Bangalore [E008],Computers Science And Engineering [CS]
81,E008,Bangalore Institute of Technology  Bangalore [E008],Electrical And Electronics Engineering [EE]
84,E008,Bangalore Institute of Technology  Bangalore [E008],Electronics  Engineering(VLSI Design Technology) [EV]
80,E008,Bangalore Institute of Technology  Bangalore [E008],Electronics and Communication Engineering [EC]
82,E008,Bangalore Institute of Technology  Bangalore [E008],Electronics and Instrumentation Engineering [EI]
83,E008,Bangalore Institute of Technology  Bangalore [E008],Electronics and Telecommunication Engineering [ET]
86,E008,Bangalore Institute of Technology  Bangalore [E008],Information Science and Engineering [IE]
87,E008,Bangalore Institute of Technology  Bangalore [E008],Mechanical Engineering [ME]
88,E008,Bangalore Institute of Technology  Bangalore [E008],Robotics and Artificial Intelligence [RI]
92,E009,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN BIO-TECHNOLOGY [BO]
89,E009,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN COMP SCI & ENGG (AI & ML) [AM]
93,E009,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN COMPUTER SCIENCE AND ENGINEERING [BW]
91,E009,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN ELECTRICAL & ELECTRONICS ENGINEERING [BJ]
90,E009,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN ELECTRONICS & COMMUNICATION ENGINEERING [BB]
94,E009,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN MECHANICAL ENGINEERING [DB]
109,E011,M V J College of Engineering  Bangalore [E011],Aero Space Engineering [SE]
95,E011,M V J College of Engineering  Bangalore [E011],Aeronautical Engineering [AE]
96,E011,M V J College of Engineering  Bangalore [E011],Artificial Intelligence and Machine Learning [AI]
99,E011,M V J College of Engineering  Bangalore [E011],Chemical Engineering [CH]
98,E011,M V J College of Engineering  Bangalore [E011],Civil Engineering [CE]
101,E011,M V J College of Engineering  Bangalore [E011],Computer Science Engineering-Data Sciences [DS]
97,E011,M V J College of Engineering  Bangalore [E011],Computer Science and Design [CD]
100,E011,M V J College of Engineering  Bangalore [E011],Computers Science And Engineering [CS]
102,E011,M V J College of Engineering  Bangalore [E011],ELECTRONICS AND COMMUNICATION (ADV COMM TECH) [EB]
104,E011,M V J College of Engineering  Bangalore [E011],Electrical And Electronics Engineering [EE]
