,InstituteId,InstituteName,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
29,E005, R. V. College of Engineering  Bangalore,CS,749,-1,1226,1092,1672,1429,1100,-1,3436,397,-1,844,544,-1,830,360,1659,800,6380,11447,10358,7132,27929,11075
30,E005, R. V. College of Engineering  Bangalore,CY,-1,-1,-1,2593,-1,2992,2508,-1,-1,1954,5075,-1,1384,-1,-1,1339,-1,2620,12957,-1,26998,8463,-1,-1
31,E005, R. V. College of Engineering  Bangalore,DS,2027,-1,-1,1779,-1,2667,2221,-1,-1,1382,-1,-1,1029,-1,-1,899,2750,1777,10583,-1,18082,17030,-1,-1
32,E005, R. V. College of Engineering  Bangalore,EC,2562,-1,-1,3414,10747,6117,5547,-1,-1,1639,-1,-1,1838,-1,5893,1366,4743,3563,16080,22018,24848,13670,-1,20237
33,E005, R. V. College of Engineering  Bangalore,EE,-1,-1,24901,7726,-1,-1,19769,-1,34415,-1,-1,-1,6093,-1,-1,6013,14314,7131,15930,80801,-1,25162,-1,-1
34,E005, R. V. College of Engineering  Bangalore,EI,26007,-1,-1,12113,-1,-1,38954,-1,115587,11450,-1,-1,11425,-1,-1,6212,-1,10981,50729,-1,-1,69554,-1,-1
35,E005, R. V. College of Engineering  Bangalore,ET,-1,-1,-1,6738,-1,16284,9975,-1,-1,-1,-1,-1,5457,-1,-1,4663,-1,12245,34304,-1,36070,67522,119357,-1
36,E005, R. V. College of Engineering  Bangalore,IE,1402,-1,-1,1657,4284,2950,1628,-1,-1,723,-1,-1,947,-1,1008,663,3599,976,8590,17565,11553,14359,-1,24786
37,E005, R. V. College of Engineering  Bangalore,IM,28618,-1,-1,27920,-1,122007,-1,-1,-1,46672,-1,-1,36603,-1,56071,21189,32684,54292,64510,-1,-1,160749,-1,-1
38,E005, R. V. College of Engineering  Bangalore,ME,20779,-1,76701,21908,-1,40650,18688,-1,-1,15803,-1,-1,23111,-1,-1,11815,27129,33449,85152,86808,115440,72298,-1,129975
39,E005, R. V. College of Engineering  Bangalore,SE,6874,84957,-1,11791,-1,13993,15163,-1,-1,5745,-1,-1,5913,-1,-1,4868,-1,13570,24839,-1,78663,36229,-1,-1
40,E006, M S Ramaiah Institute of Technology  Bangalore,AD,7698,-1,-1,4955,-1,-1,9240,-1,12649,4801,-1,5810,5541,-1,-1,4594,13257,5634,25771,-1,-1,14563,-1,-1
41,E006, M S Ramaiah Institute of Technology  Bangalore,AI,-1,-1,-1,5872,-1,-1,-1,-1,-1,4368,-1,-1,-1,-1,-1,4178,6501,7225,24283,-1,34476,30605,-1,-1
42,E006, M S Ramaiah Institute of Technology  Bangalore,BT,-1,-1,77828,36750,-1,-1,-1,-1,132478,26243,-1,-1,33009,-1,-1,21557,28001,41250,50984,-1,-1,152498,-1,-1
43,E006, M S Ramaiah Institute of Technology  Bangalore,CA,5890,-1,-1,5732,24380,6275,3675,-1,-1,3764,-1,5229,3830,-1,-1,3342,7784,4131,27597,51451,46136,27833,-1,42906
44,E006, M S Ramaiah Institute of Technology  Bangalore,CE,-1,-1,-1,47132,-1,118724,63075,-1,-1,61630,-1,-1,62755,-1,-1,44361,-1,56618,74724,-1,161528,49287,-1,-1
45,E006, M S Ramaiah Institute of Technology  Bangalore,CH,82517,-1,-1,67822,-1,-1,101068,-1,-1,66094,-1,-1,-1,-1,-1,55300,-1,-1,153687,-1,-1,68960,-1,-1
46,E006, M S Ramaiah Institute of Technology  Bangalore,CS,3085,-1,-1,2877,6460,3637,3412,-1,-1,2479,-1,-1,2128,-1,3305,1859,3592,3045,12563,16313,14402,13465,-1,23343
47,E006, M S Ramaiah Institute of Technology  Bangalore,CY,5448,-1,-1,5286,-1,7262,5571,12323,-1,5487,-1,-1,6464,-1,-1,4810,-1,6414,28789,-1,31038,-1,-1,-1
48,E006, M S Ramaiah Institute of Technology  Bangalore,EC,8547,-1,-1,9948,16698,11733,8311,-1,-1,6222,-1,9126,6571,-1,8561,5803,7271,7527,26082,37387,-1,22235,-1,45013
49,E006, M S Ramaiah Institute of Technology  Bangalore,EE,25889,-1,-1,20589,-1,31458,-1,-1,-1,-1,30729,-1,18398,-1,-1,13073,-1,23840,57569,-1,86282,51586,-1,-1
