,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank
1325,E241,KLE Technological University(Formerly BVBCET)  Dharward Dist,KLE Technological University(Formerly BVBCET)  Dharward Dist [E241],Computers Science And Engineering,Computers Science And Engineering [CS],Dharwad,Dharwad,CS,8816,0,12326,6696,7549,7390,9580,0,0,9369,0,12021,5389,7354,6293,4504,4937,6285,23210,28982,37001,24650,0,29981,13280
328,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Information Science and Engineering,Information Science and Engineering [IE],"Basavanagudi,Bengaluru",Bengaluru,IE,3939,0,5781,4335,7993,5281,6438,0,8063,2301,0,4017,2792,0,3916,2034,6820,3819,22204,42821,35644,24825,48140,26984,13407
64,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computers Science And Engineering,Computers Science And Engineering [CS],"Kumaraswamy Layout, Bengaluru",Bengaluru,CS,7081,0,0,6434,8500,7818,7819,0,0,5047,0,6418,6098,0,6871,4424,7987,5914,23711,34430,31745,17034,32849,24935,13617
151,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Computers Science And Engineering,Computers Science And Engineering [CS],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,CS,7731,0,0,8986,9531,10679,12796,0,0,6911,0,0,6896,0,8294,5821,8226,6827,24932,25332,36785,19391,0,22544,13855
41,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"MSRIT Post,Bengaluru",Bengaluru,AI,0,0,0,5872,0,0,0,0,0,4368,0,0,0,0,0,4178,6501,7225,24283,0,34476,30605,0,0,14688
13,E003,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E003]",Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Basavanagudi, Bengaluru",Bengaluru,EC,5251,0,8613,6663,14821,8275,14769,0,0,4713,0,0,4420,0,0,3537,6227,6424,24731,47314,35545,30602,0,0,14793
48,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"MSRIT Post,Bengaluru",Bengaluru,EC,8547,0,0,9948,16698,11733,8311,0,0,6222,0,9126,6571,0,8561,5803,7271,7527,26082,37387,0,22235,0,45013,14814
5,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Information Science and Engineering,Information Science and Engineering [IE],"KR Circle, Bengaluru",Bengaluru,IE,8789,0,0,7228,0,8133,8098,0,0,5783,0,0,5808,0,0,5695,7193,6198,24284,31375,40322,24799,0,28919,15187
317,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Basavanagudi,Bengaluru",Bengaluru,AI,6321,0,0,5072,11752,6336,7912,0,0,3742,0,5882,4209,0,6961,3607,11269,5436,26254,36796,45878,32443,0,38349,15189
178,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"University Of Mysore Campus, Mysore",Mysore,EC,11028,0,0,10204,0,11078,15242,0,0,8896,16374,0,7717,0,0,6351,11701,8619,28319,0,37113,18315,0,25684,15474
